key_path,index_type,init_table_size,test_suite,insert_throughput_avg,insert_throughput_min,insert_throughput_max,insert_throughput_stdv,insert_throughput_cv,read_throughput_avg,read_throughput_min,read_throughput_max,read_throughput_stdv,read_throughput_cv,memory_consumption,original_read_throughput_avg,read_throughput_avg_change_ratio
datasets/covid,lipp,2000000,22,2633863.0,2633863,2633863,,,5687594.0,5687594.0,5687594.0,,,0.0,2044401.0,1.7820344443188982
datasets/covid,lipp,2000000,41,2138985.0,2138985,2138985,,,4128875.0,4128875.0,4128875.0,,,0.0,508291.5,7.123045535878527
datasets/covid,lipp,2000000,42,2400920.0,2400920,2400920,,,5850573.0,5850573.0,5850573.0,,,0.0,2855681.5,1.048748433605078
datasets/covid,lipp,5000000,21,7231068.0,7231068,7231068,,,4770933.0,4770933.0,4770933.0,,,0.0,1323135.5,2.6057780930222187
datasets/covid,lipp,5000000,22,2272174.0,2272174,2272174,,,5647516.0,5647516.0,5647516.0,,,0.0,2068364.0,1.7304265593483545
datasets/covid,lipp,5000000,41,2361273.0,2361273,2361273,,,3457422.0,3457422.0,3457422.0,,,0.0,526239.5,5.570054129346048
datasets/covid,lipp,5000000,42,2316833.0,2316833,2316833,,,5534804.0,5534804.0,5534804.0,,,0.0,2861534.0,0.9342087146264906
datasets/covid,lipp,10000000,21,7591552.0,7591552,7591552,,,4552721.0,4552721.0,4552721.0,,,0.0,2296303.0,0.9826307765133783
datasets/covid,lipp,10000000,22,2128365.0,2128365,2128365,,,5275741.0,5275741.0,5275741.0,,,0.0,2443827.5,1.1588025341395822
datasets/covid,lipp,10000000,41,2565233.0,2565233,2565233,,,3271760.0,3271760.0,3271760.0,,,0.0,556429.5,4.8799183005214495
datasets/covid,lipp,10000000,42,2129267.0,2129267,2129267,,,5082480.0,5082480.0,5082480.0,,,0.0,2839234.5,0.790088138193587
datasets/covid,lipp,20000000,21,8027783.0,8027783,8027783,,,4318452.0,4318452.0,4318452.0,,,0.0,3280457.0,0.31641780398279873
datasets/covid,lipp,20000000,22,1924250.0,1924250,1924250,,,4951859.0,4951859.0,4951859.0,,,0.0,3101457.0,0.5966234579425089
datasets/covid,lipp,20000000,41,2825117.0,2825117,2825117,,,2969952.0,2969952.0,2969952.0,,,0.0,609962.0,3.8690770900482323
datasets/covid,lipp,20000000,42,1922867.0,1922867,1922867,,,4848549.0,4848549.0,4848549.0,,,0.0,2845549.5,0.7039060469691355
datasets/covid,lipp,50000000,21,8519470.0,8519470,8519470,,,4227135.0,4227135.0,4227135.0,,,0.0,4449966.0,-0.05007476461617909
datasets/covid,lipp,50000000,22,1753143.0,1753143,1753143,,,4387677.0,4387677.0,4387677.0,,,0.0,4244403.5,0.033755862278409675
datasets/covid,lipp,50000000,41,3229122.0,3229122,3229122,,,2572687.0,2572687.0,2572687.0,,,0.0,833278.0,2.0874294053125126
datasets/covid,lipp,50000000,42,1653505.0,1653505,1653505,,,4569816.0,4569816.0,4569816.0,,,0.0,2662652.0,0.7162648367116694
datasets/covid,lipp,100000000,21,7930710.0,7930710,7930710,,,4133551.0,4133551.0,4133551.0,,,0.0,5198238.0,-0.2048169014192886
datasets/covid,lipp,100000000,22,1719202.0,1719202,1719202,,,4198212.0,4198212.0,4198212.0,,,0.0,4580996.0,-0.08355912120420975
datasets/covid,lipp,100000000,41,3590755.0,3590755,3590755,,,2481533.0,2481533.0,2481533.0,,,0.0,1480716.0,0.6759007128983546
datasets/covid,lipp,100000000,42,1474900.0,1474900,1474900,,,4427501.0,4427501.0,4427501.0,,,0.0,2479357.0,0.7857456590559568
datasets/covid,lipp,200000000,10,10806227.0,10806227,10806227,,,4476048.0,4476048.0,4476048.0,,,0.0,5666233.0,-0.21004872196395735
datasets/fb-1,alex,0,21,6167475.0,6167475,6167475,,,1677914.0,1677914.0,1677914.0,,,0.0,1671431.0,0.0038787123129821093
datasets/fb-1,alex,0,22,1220302.0,1220302,1220302,,,2715981.0,2715981.0,2715981.0,,,0.0,2718578.25,-0.0009553706979006398
datasets/fb-1,alex,1000000,21,3138156.0,3138156,3138156,,,1549041.0,1549041.0,1549041.0,,,0.0,2546878.5,-0.3917884186465903
datasets/fb-1,alex,1000000,22,1153368.0,1153368,1153368,,,1755360.0,1755360.0,1755360.0,,,0.0,2745896.75,-0.36073342888803084
datasets/fb-1,alex,1000000,41,3544172.0,3544172,3544172,,,1180977.0,1180977.0,1180977.0,,,0.0,1696177.0,-0.30374188542823066
