id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,test_suite
20250113174720,0,1,0,0,0,datasets/linear,,alex,1874456,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113174735,1,0,0,0,0,datasets/linear,,alex,13008578,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113174813,0,1,0,0,0,datasets/linear,,alex,4487174,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113174828,1,0,0,0,0,datasets/linear,,alex,13025182,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113174908,0,1,0,0,0,datasets/linear,,alex,2653595,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113174923,1,0,0,0,0,datasets/linear,,alex,12985904,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113175002,0,1,0,0,0,datasets/linear,,alex,4461191,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113175018,1,0,0,0,0,datasets/linear,,alex,12993361,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113175055,0,1,0,0,0,datasets/linear,,alex,3344228,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113175109,1,0,0,0,0,datasets/linear,,alex,14596496,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113175145,0,1,0,0,0,datasets/linear,,alex,4515554,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113175159,1,0,0,0,0,datasets/linear,,alex,14658136,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113175243,0,1,0,0,0,datasets/linear,,alex,3649831,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113175257,1,0,0,0,0,datasets/linear,,alex,14579302,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113175341,0,1,0,0,0,datasets/linear,,alex,4063309,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113175355,1,0,0,0,0,datasets/linear,,alex,14561480,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113180310,0,1,0,0,0,datasets/covid,,alex,5426995,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
