id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite,preload_suite,partition_method,partition_num
20250108122724,1,0,0,0,0,datasets/linear,,btreeolc,17114230,20000000,0.99,0,16,126,871,1110,1447,1737,16908,1.29795e+07,895.529,1866,100,1.13049e+06,1,0,0,0,0,64,200000000,22,0,direct,1
20250108122806,0,1,0,0,0,datasets/linear,,btreeolc,71158876,50000000,0.99,0,16,69,122,301,1415,3539,9581,570496,185.011,1866,100,92520.6,1,0,0,0,0,64,200000000,21,0,direct,1
20250108122827,1,0,0,0,0,datasets/linear,,btreeolc,17362967,50000000,0.99,0,16,106,856,1102,1434,1738,16925,1.28622e+07,883.869,1866,100,1.1212e+06,1,0,0,0,0,64,200000000,21,0,direct,1
20250108122915,0,1,0,0,0,datasets/linear,,btreeolc,16049246,50000000,0.99,0,16,144,919,1223,1800,5168,17279,250036,977.757,1866,100,164366,1,0,0,0,0,64,200000000,22,0,direct,1
20250108122937,1,0,0,0,0,datasets/linear,,btreeolc,17554871,50000000,0.99,0,16,124,847,1076,1409,1715,17176,2.4395e+06,873.007,1866,100,138972,1,0,0,0,0,64,200000000,22,0,direct,1
20250108123019,0,1,0,0,0,datasets/linear,,btreeolc,92794004,100000000,0.99,0,16,70,124,192,527,2859,5304,204123,152.344,1866,100,40312.8,1,0,0,0,0,64,200000000,21,0,direct,1
20250108123042,1,0,0,0,0,datasets/linear,,btreeolc,17351848,100000000,0.99,0,16,108,855,1105,1437,1768,17312,1.33848e+06,883.567,1866,100,122615,1,0,0,0,0,64,200000000,21,0,direct,1
20250108123128,0,1,0,0,0,datasets/linear,,btreeolc,15746109,100000000,0.99,0,16,162,940,1252,1731,4974,17290,328409,996.49,1866,100,142515,1,0,0,0,0,64,200000000,22,0,direct,1
20250108123150,1,0,0,0,0,datasets/linear,,btreeolc,17436348,100000000,0.99,0,16,98,851,1099,1431,1748,17143,100085,878.196,1866,100,100724,1,0,0,0,0,64,200000000,22,0,direct,1
20250108123228,0,1,0,0,0,datasets/linear,,btreeolc,83552583,1000000,0.99,0,16,66,103,239,2004,4040,8938,212873,165.064,1866,100,117383,1,0,0,0,0,64,200000000,41,0,direct,1
20250108123249,1,0,0,0,0,datasets/linear,,btreeolc,17128486,1000000,0.99,0,16,105,867,1118,1453,1761,16963,213972,896.07,1866,100,86062.6,1,0,0,0,0,64,200000000,41,0,direct,1
20250108123348,0,1,0,0,0,datasets/linear,,btreeolc,16585801,1000000,0.99,0,16,108,903,1205,1872,5208,17111,90300,945.802,1866,100,172569,1,0,0,0,0,64,200000000,42,0,direct,1
20250108123409,1,0,0,0,0,datasets/linear,,btreeolc,17104835,1000000,0.99,0,16,97,871,1107,1445,1753,17037,606613,896.287,1866,100,97759.3,1,0,0,0,0,64,200000000,42,0,direct,1
20250108123447,0,1,0,0,0,datasets/linear,,btreeolc,80512293,2000000,0.99,0,16,71,105,246,2025,4107,9877,76080,169.597,1866,100,124904,1,0,0,0,0,64,200000000,41,0,direct,1
20250108123509,1,0,0,0,0,datasets/linear,,btreeolc,17069778,2000000,0.99,0,16,107,869,1120,1456,1783,17285,608772,899.229,1866,100,119276,1,0,0,0,0,64,200000000,41,0,direct,1
20250108123607,0,1,0,0,0,datasets/linear,,btreeolc,16560123,2000000,0.99,0,16,92,903,1205,1874,5209,17236,617662,947.164,1866,100,188613,1,0,0,0,0,64,200000000,42,0,direct,1
20250108123628,1,0,0,0,0,datasets/linear,,btreeolc,17112965,2000000,0.99,0,16,132,870,1107,1443,1739,17063,1.30694e+07,895.814,1866,100,1.15382e+06,1,0,0,0,0,64,200000000,42,0,direct,1
20250108123706,0,1,0,0,0,datasets/linear,,btreeolc,88601237,5000000,0.99,0,16,71,101,208,2002,4061,9314,596310,160.734,1866,100,122725,1,0,0,0,0,64,200000000,41,0,direct,1
20250108123727,1,0,0,0,0,datasets/linear,,btreeolc,17105479,5000000,0.99,0,16,108,869,1120,1454,1761,17006,69729,897.442,1866,100,87875.1,1,0,0,0,0,64,200000000,41,0,direct,1
20250108123824,0,1,0,0,0,datasets/linear,,btreeolc,16591326,5000000,0.99,0,16,106,902,1203,1865,5170,17119,1.31753e+07,945.454,1866,100,1.06146e+06,1,0,0,0,0,64,200000000,42,0,direct,1
20250108123846,1,0,0,0,0,datasets/linear,,btreeolc,17112396,5000000,0.99,0,16,127,870,1106,1444,1751,17023,256074,895.772,1866,100,88674,1,0,0,0,0,64,200000000,42,0,direct,1
20250108123924,0,1,0,0,0,datasets/linear,,btreeolc,78491131,10000000,0.99,0,16,73,108,250,2013,4027,8672,305961,172.145,1866,100,116864,1,0,0,0,0,64,200000000,41,0,direct,1
20250108123946,1,0,0,0,0,datasets/linear,,btreeolc,17114582,10000000,0.99,0,16,111,869,1120,1455,1765,16958,168892,897.184,1866,100,84954.6,1,0,0,0,0,64,200000000,41,0,direct,1
