id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite,preload_suite
20241206222722,0,0,0,0,1,datasets/linear,,alex,0,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206222802,0,1,0,0,0,datasets/linear,,alex,4920290,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206222818,1,0,0,0,0,datasets/linear,,alex,12946489,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206222842,0,0,0,0,1,datasets/linear,,alex,0,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206222938,0,1,0,0,0,datasets/linear,,alex,3604456,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206222952,1,0,0,0,0,datasets/linear,,alex,14432667,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206223042,0,0,0,0,1,datasets/linear,,alex,119352,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206223152,0,1,0,0,0,datasets/linear,,alex,2844951,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206223335,1,0,0,0,0,datasets/linear,,alex,1946466,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206223402,0,0,0,0,1,datasets/linear,,alex,114571,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206223526,0,1,0,0,0,datasets/linear,,alex,2366248,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206223616,1,0,0,0,0,datasets/linear,,alex,4031799,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206223710,0,0,0,0,1,datasets/linear,,alex,59900,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206223819,0,1,0,0,0,datasets/linear,,alex,2899942,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206224000,1,0,0,0,0,datasets/linear,,alex,1980895,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206224031,0,0,0,0,1,datasets/linear,,alex,59966,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206224151,0,1,0,0,0,datasets/linear,,alex,2466213,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206224236,1,0,0,0,0,datasets/linear,,alex,4412744,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206224351,0,0,0,0,1,datasets/linear,,alex,23899,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206224447,0,1,0,0,0,datasets/linear,,alex,3484940,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206224621,1,0,0,0,0,datasets/linear,,alex,2136670,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206224713,0,0,0,0,1,datasets/linear,,alex,23911,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206224819,0,1,0,0,0,datasets/linear,,alex,2954556,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206224850,1,0,0,0,0,datasets/linear,,alex,6463563,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206225112,0,0,0,0,1,datasets/linear,,alex,11953,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206225206,0,1,0,0,0,datasets/linear,,alex,3511909,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206225337,1,0,0,0,0,datasets/linear,,alex,2215217,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206225537,0,0,0,0,1,datasets/linear,,alex,11939,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206225639,0,1,0,0,0,datasets/linear,,alex,3062981,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206225708,1,0,0,0,0,datasets/linear,,alex,6958434,10000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206230147,0,0,0,0,1,datasets/linear,,alex,9556,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206230241,0,1,0,0,0,datasets/linear,,alex,3292054,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206230411,1,0,0,0,0,datasets/linear,,alex,2236817,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206230829,0,0,0,0,1,datasets/linear,,alex,9546,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206230929,0,1,0,0,0,datasets/linear,,alex,3012330,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206230959,1,0,0,0,0,datasets/linear,,alex,6748578,20000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206232337,0,0,0,0,1,datasets/linear,,alex,6943,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206232427,0,1,0,0,0,datasets/linear,,alex,3002375,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206232543,1,0,0,0,0,datasets/linear,,alex,2626083,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241206233907,0,0,0,0,1,datasets/linear,,alex,6940,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206233955,0,1,0,0,0,datasets/linear,,alex,3123708,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241206234022,1,0,0,0,0,datasets/linear,,alex,7484875,50000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241207000742,0,0,0,0,1,datasets/linear,,alex,6625,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241207000825,0,1,0,0,0,datasets/linear,,alex,2366271,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241207000931,1,0,0,0,0,datasets/linear,,alex,3026725,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,23
20241207003641,0,0,0,0,1,datasets/linear,,alex,6628,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241207003711,0,1,0,0,0,datasets/linear,,alex,3311501,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241207003738,1,0,0,0,0,datasets/linear,,alex,7561611,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,23
20241207003809,0,0,0,0,1,datasets/linear,,alex,119496,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,23
20241207003925,0,1,0,0,0,datasets/linear,,alex,2612872,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,23
20241207004018,1,0,0,0,0,datasets/linear,,alex,3812281,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,23
20241207004053,0,0,0,0,1,datasets/linear,,alex,119477,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,23
20241207004223,0,1,0,0,0,datasets/linear,,alex,2210436,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,23
20241207004316,1,0,0,0,0,datasets/linear,,alex,3810513,1000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,23
20241207004346,0,0,0,0,1,datasets/linear,,alex,59550,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,23
20241207004502,0,1,0,0,0,datasets/linear,,alex,2609870,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,23
20241207004555,1,0,0,0,0,datasets/linear,,alex,3797593,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,23
20241207004634,0,0,0,0,1,datasets/linear,,alex,59566,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,23
20241207004804,0,1,0,0,0,datasets/linear,,alex,2208325,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,23
20241207004856,1,0,0,0,0,datasets/linear,,alex,3819136,2000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42,23
20241207004945,0,0,0,0,1,datasets/linear,,alex,23926,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,23
20241207005039,0,1,0,0,0,datasets/linear,,alex,3601877,5000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41,23
