id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite,preload_suite,partition_method,partition_num
20250107173441,1,0,0,0,0,datasets/linear,,alex,6239860,20000000,0.99,0,1,9,12,13,15,60,603,30772,12.6691,1866,100,2052.38,1,0,0,0,0,64,200000000,22,0,direct,1
20250107173625,0,1,0,0,0,datasets/linear,,alex,3264060,50000000,0.99,0,1,29,92,127,3127,25674,161084,1.44959e+07,289.824,1866,100,2.30772e+08,1,0,0,0,0,64,200000000,21,0,direct,1
20250107173811,1,0,0,0,0,datasets/linear,,alex,2075745,50000000,0.99,0,1,13,345,584,867,1180,3544,53666,301.578,1866,100,63156.9,1,0,0,0,0,64,200000000,21,0,direct,1
20250107173939,0,1,0,0,0,datasets/linear,,alex,3273338,50000000,0.99,0,1,31,169,252,505,684,2916,3.30201e+07,252.557,1866,100,1.17237e+09,1,0,0,0,0,64,200000000,22,0,direct,1
20250107174021,1,0,0,0,0,datasets/linear,,alex,5793596,50000000,0.99,0,1,14,20,23,26,220,676,24965,20.6351,1866,100,2723.1,1,0,0,0,0,64,200000000,22,0,direct,1
20250107174157,0,1,0,0,0,datasets/linear,,alex,2624177,100000000,0.99,0,1,30,82,130,186,44985,323124,1.48992e+07,364.376,1866,100,6.80967e+08,1,0,0,0,0,64,200000000,21,0,direct,1
20250107174332,1,0,0,0,0,datasets/linear,,alex,2355151,100000000,0.99,0,1,14,24,516,812,1111,3206,47953,185.732,1866,100,56659.8,1,0,0,0,0,64,200000000,21,0,direct,1
20250107174446,0,1,0,0,0,datasets/linear,,alex,3740735,100000000,0.99,0,1,30,163,239,490,640,2167,1.14571e+07,205.116,1866,100,4.50766e+08,1,0,0,0,0,64,200000000,22,0,direct,1
20250107174528,1,0,0,0,0,datasets/linear,,alex,5981044,100000000,0.99,0,1,14,21,24,27,291,643,49134,21.5356,1866,100,2838.17,1,0,0,0,0,64,200000000,22,0,direct,1
20250107174656,0,1,0,0,0,datasets/linear,,alex,3585688,1000000,0.99,0,1,23,27,712,2280,4422,6572,5.8617e+07,263.659,1866,100,6.11634e+08,1,0,0,0,0,64,200000000,41,0,direct,1
20250107174734,1,0,0,0,0,datasets/linear,,alex,6321867,1000000,0.99,0,1,9,12,13,14,28,247,250150,12.4047,1866,100,5804.54,1,0,0,0,0,64,200000000,41,0,direct,1
20250107174916,0,1,0,0,0,datasets/linear,,alex,3398270,1000000,0.99,0,1,24,163,256,527,1890,5998,3.34897e+07,243.697,1866,100,5.51469e+08,1,0,0,0,0,64,200000000,42,0,direct,1
20250107174955,1,0,0,0,0,datasets/linear,,alex,6162791,1000000,0.99,0,1,9,12,13,15,424,806,49490,13.2224,1866,100,3316.85,1,0,0,0,0,64,200000000,42,0,direct,1
20250107175123,0,1,0,0,0,datasets/linear,,alex,3582171,2000000,0.99,0,1,23,27,713,2273,4414,6516,5.94513e+07,263.857,1866,100,6.13038e+08,1,0,0,0,0,64,200000000,41,0,direct,1
