id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite
20241126173538,0,1,0,0,0,datasets/linear,,btreeolc,21867311,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126173652,1,0,0,0,0,datasets/linear,,btreeolc,2714255,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126173729,0,1,0,0,0,datasets/linear,,btreeolc,39339415,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126173807,1,0,0,0,0,datasets/linear,,btreeolc,5319162,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126173842,0,1,0,0,0,datasets/linear,,btreeolc,71046552,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126173901,1,0,0,0,0,datasets/linear,,btreeolc,10393685,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126173935,0,1,0,0,0,datasets/linear,,btreeolc,63873147,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126173946,1,0,0,0,0,datasets/linear,,btreeolc,19034977,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,41
20241126174140,0,1,0,0,0,datasets/linear,,btreeolc,1558926,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126174409,1,0,0,0,0,datasets/linear,,btreeolc,1344426,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126174524,0,1,0,0,0,datasets/linear,,btreeolc,3037066,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126174638,1,0,0,0,0,datasets/linear,,btreeolc,2712303,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126174735,0,1,0,0,0,datasets/linear,,btreeolc,5764719,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126174813,1,0,0,0,0,datasets/linear,,btreeolc,5343372,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126174859,0,1,0,0,0,datasets/linear,,btreeolc,11171345,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
